Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Elix Wireless,https://www.elixwireless.com/,"ELIX Wireless, a spin-out from University of British Columbia, focusing on developing wireless charging systems with application in electric vehicle charging. The company's patented  Magneto-Dynamic Coupling (MDC) technology uses the magnetic field interaction of two rotating magnets for power transmission. The company was named as one of BCs top 25 most innovative companies in 2014. Backed by CrossPacific Capital Partners and University of British Columbia.",Canada,Infr. for e-transport,Transport,2013,Nascent,"5,000,000",Series A,Mobility
Emitwise,https://emitwise.com/,"EmitWise provides carbon footprint management and monitoring automation solution. It automates data acquisition from user accounting, procurement, and energy management systems. The platform helps to track emissions across business units & projects and provides the analytical tools to make decisions.",England,CCT,Carbon Management,2019,Nascent,"3,400,000",Series A,Sustainability
Emme,https://www.getemme.com/,"Emme E2MS provides energy management solutions for light commercial and residential markets. It offers Environmental Management System, a platform that provides environmental controls and SmartSensors, HVAC equipment monitors, wireless outdoor temperature sensors, and wireless receivers. They products Emme core designed for home & light commercial space and Emme Room by Room designed for commercial space.",USA,Green Building,Buildings & Heat,2012,Nascent,"5,600,000",Series A,Accessibility
En Ocean,https://www.enocean.com/en/,"EnOcean is a developer of patented energy harvesting wireless technology solution It offers energy harvesting technology, sensors, & radio frequency communication as a single solution for building and home automation, lighting, industrial, automated meter reading, and environmental applications. Offerings include transmitters, receivers, transceivers, energy harvesters, kits, self-powered wireless sensors for harvesting & managing energy from the environment, and radio technology to generate a long-range signal. It sells its products through distributors in multiple countries across the globe.",Germany,Predictive Maintainance,Smart Operations,2001,Emerging,"36,800,000",Series B,Stability
EnerAllies,https://enerallies.com/,"EnerAllies offers cloud-based software for managing HVAC at multiple locations to improve energy efficiency. The company replaces old thermostats with new Wi-Fi enabled thermostats to monitor and control over the internet. It automatically sends temperatures schedules, warns of equipment degradation, reports on employee overrides to each site. Clients include Dunkin Donuts, KFC, Jamha Juice etc.",USA,Green Building,Buildings & Heat,2011,Emerging,,Series A,Accessibility
Enerbrain,https://www.enerbrain.com/en/,"Enerbrain is a SaaS-based solution with a smart retrofit system for nonresidential buildings using IoT hardware and powerful algorithms in the cloud to fine-tune energy usage in real time allowing 30% operational savings as per the company claims. Their Energy Cloud allows a dynamic response to internal and external conditions, integrates with existing HVAC systems and improves indoor comfort. It has installed their solution over dozen places including Lingotto and the Teatro Carignano in Turin.",Italy,Green Building,Buildings & Heat,2015,Nascent,"2,257,980",Seed,Accessibility
Energy Vault,https://energyvault.com/,Energy Vault provides a gravity based energy storage system for solar and wind energy. It lifts the 35-ton composite bricks to create the tower and then bricks are returned to the ground and the kinetic energy generated from the falling brick is turned back into electricity. It can store 20-80 MWh electricity.,Switzerland,Grid-scale Storage,Whole System Resources,2017,Nascent,"110,000,000",Series B,Stability
Energy Worx,https://www.energyworx.com/,"Energy Worx provides a platform for gathering data using APIs, storage and flexibility to have data in value context driven data points. The analytics engine ensures that unique actionable insights are isolated and highlighted. It is used by utility companies to understand behavioural insights of the consumers and create customized pricing plans.",Netherlands,Asset & data management,Smart Operations,2012,Nascent,"2,200,000",Series A,Stability
Enertiv,https://www.enertiv.com/,"Enertiv provides a combination of sensor hardware and software that allows buildings to monitor their energy consumption in real-time. Collecting data at the circuit level provides detailed information on energy use. The Enertiv Platform continuously analyses this information in real-time, alerting users of anomalies while providing personalized recommendations for savings. The platform allows building owners to see performance of an entire portfolio of buildings, down to an individual piece of equipment. Advanced algorithms make this a highly scalable model able to deliver big energy savings at low costs. Enertiv was selected as one of the top ten companies to the R/GA + Techstars Connected Devices Accelerator. The team demonstrated their solution during the SXSW 2014 in Austin, experiencing a positive reception by the investor community. Enertiv also presented at the Techstars investor demo day in New York City on March 18, 2014. Recieved $550k as seed investment from Semyon Dukach, MD at Techstars.",USA,Green Building,Buildings & Heat,2011,Nascent,"9,271,056",Seed,Accessibility
Enervalis,https://www.enervalis.com/,"Enervalis works with smart city municipalities and companies in the electric vehicle, construction, and utility industries. It offers a SaaS platform Smartpower Suite, a middleware operating system for application verticals - smart EV, Smart Buildings, and Smart Microgrids.",Germany,Smarter Grid,Buildings & Heat,2013,Nascent,"4,470,000",Series A,Accessibility
Enervee,https://www.enervee.com/,"Enervee provides a platform that drives energy efficiency and customer engagement. It provides Enervee Score which rates the energy efficiency of consumer electronics and home appliances from 0 to 100 (best). It's a real time comparison of how a product ranks compared to all others on the market as of today. Enervee provides personal recommendations for purchasing a product based on energy efficiency, TrueCost (purchase price + energy cost), and popularity (reviews + sales volume). These recommendations are distributed via energy-smart shopping channels available on the Enervee web site and through online publisher and utility partner web sites. Enervee also provides consumers with an EcoView highlighting the impact of a product's CO2 emissions on society and the environment. Enervee's data is used by governments and electric utilities to track market trends and incentivize consumers to purchase more efficient appliances. Through analyzing product availability based on location, Enervee can provide a list of utility energy efficiency rebates that are redeemable for each product. The Enervee mission is to help consumers, businesses, and governments save energy and help the environment by purchasing the most energy efficient products.",USA,Battery technology,Enabling Consumers,2010,Emerging,"5,400,000",Series A,Mobility
Enervid,https://enverid.com/,"enVerid Systems develops an energy-saving technology for heating, ventilating, and air conditioning systems. It offers HLR(HVAC Load Reduction), a family of retrofit modules that remove carbon dioxide, volatile organic compounds, and other trace contaminants. The HLR solution minimizes the amount of outside air required to maintain indoor air quality, reducing the load on the HVAC system and resulting in significant energy savings.",USA,Green Building,Buildings & Heat,2010,Emerging,"34,601,825",Series B,Accessibility
Enevate,https://www.enevate.com/,Enevate Corporation (previously Carbon Micro Battery Corporation) develops rechargeable energy storage technology. The company has patents in Li-ion battery capacity. Enevate's batteries are based on materials and battery structures that deliver higher capacity in smaller sizes while maintaining plug-and-play compatibility with existing Li-ion battery applications.,USA,Infr. for e-transport,Whole System Resources,2006,Emerging,"64,000,000",Series B,Mobility
Enlightened,https://www.enlightedinc.com/,"Enlighted improves built environments by making them responsive and energy efficient. Their solution combines advanced occupancy sensors, analytics and controls to reduce energy costs and increase occupant. Enlighted's network platform uses multi-function wireless sensors to securely collect and analyze data and report on occupancy, environment, and activity within office buildings. Based on data collected, the Enlighted Energy Manager intelligently adapts lighting level based on the occupant's presence and preference. With their GEO program, Enlighted provides their Lightning system, while the client pays Enlighted a utility rate for the saved electricity lower than they pay their local utility provider. Under the program, there is a guaranteed savings of 10-20% on energy costs. Already deployed in 228 customer sites in 30 states. System can be leveraged to capture operational data from sensors on building assets (marketed by Oracle and Hitachi). Working with Google on a new project as well.",USA,Green Building,Buildings & Heat,2009,Mature,"83,200,000",Acquired,Accessibility
Entouch,https://entouchcontrols.com/,"EnTouch Controls provides an Energy Management as a Service solution. The company offers energy intelligence software (EIS), EnTouch 360°, a cloud-based energy management system that provides facilities and energy management intelligence and provides visibility across key assets while improving operational efficiency for HVAC, refrigeration and lighting. It has a strategic partnership with EnerNoc.",USA,Green Building,Buildings & Heat,2009,Mature,"30,150,000",Series C,Accessibility
Envelio,https://envelio.de/en/,"Envelio provides a platform for the integration of renewable generation and electromobility. The solution is provided to network providers, for the automated planning and management of power grids. Functions carried out include improving efficiency through automated recommendations for action and data analyzes which it achieves with the use of artificial intelligence and optimization techniques.",Germany,Smarter Grid,Optimising Network Resources,2017,Nascent,"7,823,741",Series A,Accessibility
Enview,https://enview.com/solutions/electric/,"Enview automates the delivery of analytical insights to help improve the safety of pipelines and powerlines. It leverages a combination of data analytics, remote sensing, and geospatial big data to identify and prevent threats. Its capabilities include algorithms to analyze data from multiple sensors, predictive analytics to identify threats, and data visualization to support risk-based decision making.",USA,Predictive Maintainance,Smart Operations,2015,Nascent,"18,045,001",Series B,Stability
EOCell,http://eocell.com/,"Eocell, part of Dragon Group, is a developer of materials for high energy density lithium batteries with a focus on anode technology. Product list includes lithium-ion cells, silicon-based anodes, and solid electrolyte. Claims that the anodes developed by the company cause less than 10% First Cycle Irreversible Capacity Loss (IRCL) with around 25% increase in energy density.",USA,Infr. for e-transport,Transport,2015,Nascent,"20,000,000",Series B,Mobility
EOS Energy Storage,https://eosenergystorage.com/,Eos Energy Storage develops low-cost energy storage solutions for the electric utility and transportation industries. Its proprietary rechargeable zinc hybrid cathode battery is electrically rechargeable and has a life of over 5000 cycles (15 years) with a full duty cycle and at full depth of discharge. Eos manufactures grid-scale battery solutions designed to support 4-hour capacity with low levelized cost of energy.,USA,Grid-scale Storage,Whole System Resources,2007,Mature,"67,539,999",Series C,Stability
ESaas,https://www.esaas.co.uk/,"The Energy Storage as a Service (ESaaS) guarantees to reduce the most expensive hours of electric demand for building owners, lowering electricity bills and at no-cost.",England,Emerging Business Models,Whole System Resources,2014,Emerging,,Unfunded,Accessibility
Esmart Systems,https://www.esmartsystems.com/,"eSmart Systems offers an analytics platform for smart grid and smart cities solutions integrated with machine learning and the Internet of Things (IoT).  The platform connected to the grid, buildings, homes, electric vehicles and uses Azure Machine Learning to forecast energy grid usage and turn down home heating when demand is high. It can handle big and real-time data for faster responses. It has worked on Oslo smart city dashboard project.",Norway,Smarter Grid,Smart Operations,2012,Nascent,"45,904,512",Series B,Accessibility
Essinc,https://essinc.com/,ESS develops flow batteries based on their proprietary and patented all-iron electrolyte. The company claims to provide the solution at one of the lowest installed cost/kWh storage systems on the market. The solution is to be used by renewable energy developers as a longer-duration energy storage asset which can be used for many different durations of time from 2-8 hours.,USA,Grid-scale Storage,Whole System Resources,2011,Mature,"46,200,000",Series C,Stability
EV Connect,https://www.evconnect.com/,"EV Connect is a provider of electric vehicle (EV) charging solutions for commercial, enterprise, hospitality, university and government facilities. EV Connect develops and operates the industry's most robust and flexible cloud-based platform for the management of charging stations and the drivers that use them.  The EV Connect platform provides charge station-agnostic command and control; enterprise and energy systems integration via an open API; driver communications and support; and demand-response functionality across multiple charging networks.",USA,Infr. for e-transport,Transport,2009,Emerging,"25,000,000",Series B,Mobility
Everactive,https://everactive.com/,"Everactive provides IoT-based energy harvesting solutions for enterprises. Provides solutions for storing and managing energy using a communication IP which features cloud-based analytics and batteryless/wireless sensor network technology. Has capabilities to sense ambient temperature, remote temperature, humidity, light, vibration and more. Supports indoor solar facilities down to 100 Lux and thermal gradients down to 10°F differential.",USA,Predictive Maintainance,Smart Operations,2012,Emerging,"68,999,994",Series C,Stability
Everfuel,https://www.everfuel.com/,Everfuel generates green hydrogen and aims to provide fueling solutions across Europe. Claims to provide green hydrogen fuel at prices competitive to traditional gasoline and diesel.,Denmark,Hydrogen Economy,Whole System Resources,2005,Emerging,"5,893,140",Series A,Sustainability
Eviation,https://www.eviation.co/,Eviation is an early-stage Israeli startup focused on developing electric aircraft. The company is working on a 9-seater electric airplane which is able to cover around 1000 km on a single charge. The aircraft would be powered by Phinergy's Aluminum-air batteries. The company unveiled the prototype of its electric aircraft at the Paris Air Show in June 2017.,Israel,Battery technology,Transport,2015,Nascent,,Seed,Mobility
Feds,https://www.feds.ae/,"Falcon Eye Drones (FEDS) is a provider of drone-based aerial inspection, surveying and filming services. The company uses third-party drones to provide its services to multiple industries, chiefly mining and quarrying, construction, energy, utilities, agriculture, media, archaeology and environmental conservation. It provides both data acquisition and data processing services. FEDS provides its services in the Middle East and some African countries.",United Arab Emirates,Predictive Maintainance,Smart Operations,2014,Nascent,,Seed,Stability
Ferro Amp,https://ferroamp.com/en/,"Ferroamp is an award winning company developing power electronic solutions for commercial and residential customers. Its entire system consists of an inverter, lithium based energy storage and an EMS+BMS software which controls the entire system. Depending upon the grid power and rooftop solar power availability it can intelligently switch between, direct solar, battery and grid. The system enables fast charging of EVs if connected to the system and seeks to reduce the power consumption of the household to reduce dependency on grid and reduce power bills.",Sweden,Smarter Grid,Smart Assets,2010,Emerging,"1,745,650",Series A,Accessibility
First Light Fusion,https://firstlightfusion.com/,First Light is developing a nuclear fusion process based on inertial confinement fusion. The process involves symmetrical implosion reaction of the helium produced from water which claims to produce a temperature that of the sun core. This heat energy is then utilized for power production.,England,Adjacent Networks,Whole System Resources,2011,Emerging,"35,400,000",Series B,Accessibility
FlexGen,https://flexgen.com/,"FlexGen provides hybrid-power storage solutions for oil & gas industries and grid applications. Features include 480-600V potential, 200-900kW power output, and 250-1100kVA. The offered systems are integrated with power generators, and the energy storage systems supply power during more load on the generator. Offered systems are enabled by proprietary algorithms for optimization of power storage and supply.",USA,Grid-scale Storage,Whole System Resources,2009,Emerging,"26,500,000",Series A,Stability
Flexidao,https://www.flexidao.com/,"FlexiDAO provides a blockchain-based software platform for energy retailers to enable energy data management tools for smart energy management services. The software uses a real-time digital notary to accredit the source of electricity and assigns to customers automatically according to the requirement. Claims that the software can allow the user to opt for renewable source energy and can monitor real-time energy consumption data. Also offers consulting workshops, Docker-based software deployment, and blockchain network remote connection services.",Spain,Smarter Grid,Optimising Network Resources,2017,Nascent,,Seed,Accessibility
Floating Power Plant,https://www.floatingpowerplant.com/,"Floating Power Plant is a clean-tech company that designs, develops and provides a unique patented platform for wind and wave energy. The turbine can harness the power of both winds as well as waves. It offers a wave energy converter that is based on an oscillating water column with the use of an oil hydraulic PTO system and generates electricity.",Denmark,Renewable Generation,Whole System Resources,2004,Emerging,"16,800,000",Series A,Sustainability
Flow Ocean,https://flowocean.com/,"Flowocean is a Swedish company that developed a proprietary technology for floating offshore wind power. Developed a floating offshore system that uses the Tension Leg Platform(TLP) and the Semi-Submersible technologies. Features include plug-and-play, flexible, higher mobility & lower weight than conventional systems and others.",Sweden,Renewable Generation,Whole System Resources,2012,Emerging,,,Sustainability
Flyability,https://www.flyability.com/power-and-utilities,"Flyability develops Elios, a collision-tolerant drone that is designed for inspection and exploration of the inaccessible places and can be flown in complex environments. It comes with a carbon-fiber protective shell that enabled the same to stay stable after collisions with obstacles. Other features include LED lights for navigation, live 2.4 GHz video feedback, and more The company also offers an upgraded version of the former fitted with 7 vision stability sensors pointing in all directions to provide GPS-free stabilization. The data collected by these drones are processed by a companion software, also known as Inspector, that allows users to view thermal data full-screen or as an overlay on RGB data. It deploys drones to inspect critical infrastructure for industries such as power generation, mining, oil and gas, chemical, and radioactive areas of nuclear plants",Switzerland,Predictive Maintainance,Smart Operations,2014,Nascent,"18,409,100",Series B,Stability
Flytbase,https://flytbase.com/,"FlytBase, an offering of NavStik Labs, is a platform for easy deployment of intelligent drones connected with cloud-based business applications. The platform has two major components namely FlytOS and FlytCloud. FlytOS is an operating system for drones built on ROS which allows building multiple drone applications. FlytCloud is an API that allows real-time access and control to drone navigation, telemetry, and payload. In addition, the platform comprises of components namely FlytBase AI which is a platform for enabling object detection, object counting, change detection and more on drones; FlytDock which is a precision target landing solution, and FlytDock which is a software for drone security operations. The solution is compatible with major drones including DJI, 3DR, APM, PX4, and hardware platforms such as Intel, Qualcomm, Nvidia, and Samsung. The company was awarded the TiE50 Top-Startup award by TiE Silicon Valley.",India,Predictive Maintainance,Smart Operations,2013,Nascent,,Seed,Stability
Foghorn,https://www.foghorn.io/,"FogHorn provides an edge AI platform offering analytics solutions. The machine learning-based solution enables a device to process and analyse the collected data at the edge devices such as PLCs, gateways and industrial PCs rather than at the cloud. The fully-integrated, closed loop edge to cloud solution provides onsite data processing, real-time analytics, ML and AI capabilities. Has use case for manufacturing, oil & gas, transportation, retail, healthcare, automotive and other applications.",USA,Predictive Maintainance,Smart Operations,2014,Emerging,"72,500,000",Series C,Stability
Form Energy,https://formenergy.com/about/,Form Energy is developing a sodium-based energy storage system for renewable energy projects. Claims that the storage system can store power a year and is cost-effective.,USA,Grid-scale Storage,Whole System Resources,2009,Mature,"120,000,000",Series C,Stability
Forsee Power,https://www.forseepower.com/,"Forsee Power manufactures lithium battery systems that are used in electric transport, marine, geometries, medical equipment, robotics, home automation, security & safety equipment. Products include Forsee Pulse LTO prismatic cell systems which are scalable modular systems based on 1.1 kWh, 2.2 kWh & 15 kWh modules;  Flex 7 lithium-ion NMC pouch cell-based systems which are scalable based on 7 kWh modules; and Forsee Zen lithium-ion NMC prismatic cell-based system which is a scalable system based on 4 kWh & 35 kWh packs. Has developed a proprietary battery management system(BMS) consisting of electronic circuits, voltage reading & communication systems. Also involved in financing and battery recycling activities.",France,Battery technology,Circular Economy,2011,Emerging,"64,612,500",Series B,Mobility
Freewire Tech,https://freewiretech.com/,"FreeWire Technologies is developing a scalable solution that combine robotics, energy storage, and grid integration to create an advanced network of mobile EV chargers (the company is developing a mobile robotic EV charger). The company's first product - Mobi Charger - is a mobile charging station. The EV drivers can provide their location through the app and a mobile charging station would come and charge the vehicle.",USA,Infr. for e-transport,Transport,2014,Nascent,"53,300,000",Series B,Mobility
Furcifer,https://furciferinc.com/,"Furcifer manufactures the electrochromic films for the architectural, automotive and display markets. The electrochromic flexible film technology with wet-processable solid polymer materials enables the management of the sunlight and helps in maintaining the ambiance of the building.",USA,Green Building,Buildings & Heat,2015,Nascent,"6,000,000",Series A,Stability
Gauzy,https://www.gauzy.com/,Gauzy is an Israeli company that has developed glass that changes its opaqueness as per the electric current passed through it. When an electrical supply is passed through the glass the LC molecules in it rearrange in such a way that it allows user's selected amount of light to pass. When the electrical supply is off the LC molecules sporadically and scatter the light causing glass surface to appear opaque. The solution consists of Polymer dispersed liquid crystals film and PDLC dim & on/off controller. The glasses have wide application in buildings construction industry. ,Israel,Green Building,Buildings & Heat,2009,Mature,"37,500,000",Acquired,Stability
GBatteries,https://www.gbatteries.com/,GBatteries has developed a patented e-vehicle charging solution which claims to charge the 50% of lithium-ion batteries in 5-minutes and 100% charge in 10-minutes. Uses AI-based software algorithms and electronics to optimize the charging system in vehicles. Has introduced demo products in North American International Auto Show.,Canada,Infr. for e-transport,Optimising Network Resources,2012,Nascent,"3,000,000",Seed,Mobility
Geli,https://geli.net/virtual-power-plant-services/,"Geli develops software to integrate, network, and economically operate energy storage systems. The software makes operational decisions based on the price of power and energy in addition to the electrical status and activity of the grid and other system components. It performs actions on the energy storage system itself for local optimization and within the context of a microgrid, smart building, renewable energy installation, or electric vehicle infrastructure.",USA,Grid-scale Storage,Whole System Resources,2011,Mature,"24,000,000",Acquired,Stability
Gen 2 WTE,https://gen2wte.com/,"Gen2 provides waste to energy solutions to waste and waster management plants. Has technologies to convert waste tire to oil, plastic to diesel, municipal solid waste to electricity and fuel, biomass to energy, and water purification systems. Has a partnership with ADVETEC to provide holistic organic waste to energy conversion solution to customers. Also, it is a member of the Waste Conversion Technologies Association.",USA,Circular Cities,Circular Economy,2014,Nascent,"149,997",Seed,Accessibility
Geyser Batteries,https://www.geyserbatteries.com/,"Geyser Batteries is a developer of carbon-neutral batteries. It uses supercapacitors in its electrochemical system that allows batteries to be charged or discharged for more cycles. Also, it uses water-based electrolytes and does not use any toxic, flammable, or explosive material in the batteries.",Finland,Grid-scale Storage,Whole System Resources,2018,Nascent,"1,105,530",Seed,Stability
GIEnergy,https://www.gienergyus.com/,"GI Energy designs and installs microgrid systems for developers, campus owners, commercial and industrial building managers. Solutions provided include analysis of requirement, engineering of the solutions, project management, and post-installation servicing. The offered microgrid solutions are derived from different energy sources like cogeneration (CHP), solar energy, geothermal heat pumps, and advanced energy storage. Clientele includes Cornell University, University of Chicago, UBS, Walgreens, and Wintrust Bank.",USA,Emerging Business Models,Enabling Consumers,2005,Mature,,Acquired,Accessibility
Gilytics,https://www.gilytics.com/,"Gilytics specializes in providing 3D visualization solutions for energy transmission. IT offers services such as spatial data management, data-driven decision making, cloud computing, optimal spatial planning, and others. Its features include customization of tower model & substations, analytics of routes, 3D visualization of projects, 3D visualization of diffusion of electromagnetic fields, estimation of construction costs, and more.",Switzerland,Asset & data management,Smart Assets,2017,Nascent,"31,430",Seed,Stability
Go Tou,https://www.go-tou.com/,"GO To-U is a network of electric vehicle charging station. The network is free-to-use for electric vehicle drivers. The company also provides an app-based solution to help drivers locate charging points on the network and book them. The stations are installed at public locations such as cinemas, malls, cafe, gyms etc.",Poland,Infr. for e-transport,Transport,2016,Nascent,"100,000",Seed,Mobility
Goelectric,https://goelectricinc.com/,"Go Electric is a green-tech startup developing microgrid management system, uninterruptible power and energy resiliency solutions. Their patented Blinkless technology seamlessly integrates renewable energy, batteries and generators and the grid to ensure energy security for customers. Blinkless advanced uninterruptible power solutions (UPS) shave peak loads, lower energy bills, enables demand response and energy shifting. Their LYNC is a patented technology that instantly provides AC electrical power at the correct frequency, phase and voltage from any AC and DC power sources.",USA,Emerging Business Models,Optimising Network Resources,2011,Mature,"8,056,638",Acquired,Accessibility
Gogoro,https://www.gogoro.com/,"Gogoro is a developer of electric scooters and operator of battery swapping networks. Its vehicles have anti-lock braking systems, ABS tyres, front suspensions, swappable batteries, tail grips, anti-theft systems and an integrated app displaying battery levels and vehicle performance. It operates a network of battery swapping stations across commercial areas such as parking lots and supermarkets. Its swappable batteries are encased in aluminium and are waterproof.",Taiwan,Infr. for e-transport,Transport,2011,Mature,"480,000,000",Series C,Mobility
Gooee,https://gooee.com/,"Gooee has developed a complete ecosystem to bring lighting products online. The ecosystem consists of ASIC chips with sensors onboard to read environmental and human input, gateway to support endpoints working with other units enabling a scalable deployment working in coordination with the cloud, wireless interface modules to provide control over fixtures, and a cloud platform. In addition, the company provides Mesh Access Point that is primarily designed to communicate with luminaires and other connected devices using the company's Bluetooth SmartMesh and provides a direct PoE link between the mesh network and the gateway. The target market includes store manager, operations manager, facilities manager, property manager, and more.",USA,Green Building,Buildings & Heat,2014,Nascent,"8,000,000",Seed,Accessibility
Gravitricity,https://www.gravitricity.com/,Gravitricity is developing a large-scale energy storage system which uses Gravitational Potential Energy of a heavy cylindrical weight of up to 3000 tonnes. The weight is suspended in a deep shaft by a number of synthetic ropes each of which is engaged with a winch capable of lifting its share of the weight. Electrical power is then absorbed or generated by raising or lowering the weight. Their patented technology can generate power in the range of 1MW to 20 MW and connects to existing grid infrastructure.,England,Grid-scale Storage,Whole System Resources,2011,Nascent,"1,615,386",Seed,Stability
Green Hydrogen,https://greenhydrogen.dk/,"Green Hydrogen develops on-site hydrogen production solutions. Has developed 3-technology solutions called HyProvide P1- a standalone hydrogen generation system for power back-up solutions which produce 99.995% pure hydrogen; HyProvide A20-A60- an alkaline electrolyzer platform for megawatt-scale requirements & offers 10+ years of service life; MeGa-StoRE- a modular methanation platform which produces hydrogen for biogas upgradation. The solutions can be used for power-to-gas in which hydrogen is used to run a turbine or fuel cell and power-to-power applications. Claims to be approved for participation in Danish energy projects under EUDP, FORSK-El, and Innovation Fund Denmark.",Denmark,Hydrogen Economy,Whole System Resources,2007,Emerging,,Series A,Sustainability
Green Lagoon,https://glt.my/,"Green Lagoon Technology is a Malaysian company focused on developing systems for production of biofuels from waste. The company develops in-ground biogas production and storage systems. The company also develops biogas delivery and treatment systems which completes the biogas plant. Additionally, the company also offers a cloud monitoring and reporting system which helps monitor the performance of the biogas plant. The company plants are suited for treatment of waste biomass and organic content in wastewater streams.",Malaysia,Circular Cities,Circular Economy,2010,Nascent,"200,000",Seed,Accessibility
Green Smith Energy,http://greensmithenergy.com/,"Greensmith Energy provides energy storage and analytics solutions for the grid. It provides solutions for grid reliability, renewable integration, microgrid, and hybrid energy. Its products include GEMS, an EMS software platform that monitors, controls, and optimizes energy and GridSolv, a standardized solution that provides flexible and modular storage for the core hardware assets within energy storage systems.",USA,Grid-scale Storage,Whole System Resources,2008,Mature,"34,300,000",Acquired,Stability
Greenbird,https://www.greenbird.com/,"Greenbird Integration Technology provides Metercloud, a hybrid cloud platform for big data integration applications empowering the smart grid, smart city, and the industrial IoT. It is targeting enterprise customers such as utilities, municipalities or process-oriented industries that utilize a network of connected things to gain operational excellence, process intelligence, and resource efficiency. It provides the pipelines and integration engine to transport data, refine it, distribute it and monetize it.",Norway,Smarter Grid,Smart Operations,2010,Emerging,"10,800,000",Series B,Accessibility
Greenbyte,https://www.greenbyte.com/,"Greenbyte is a developer of renewable energy management software. Provides solutions for renewable energy owners, operators, and asset managers. Enable users to monitor, analyze, and control renewable energy portfolios. Features include aggregation of data (power pricing and weather forecasts), advanced performance monitoring, AI-based predictive analytics, analyzing performance issues, data visualization, and others.",Sweden,Renewable Generation,Optimising Network Resources,2010,Emerging,"6,170,000",Series A,Sustainability
Greencom Networks,http://www.greencom-networks.com/en,"GreenCom Networks has developed an IoT platform to optimize the share of distributed energy assets and end consumer demand. The GreenCom Network is one of the key applications based on Energy IoT Plattform which allows the aggregation of various electricity producers and consuming assets. Can be used to provide energy autarky services, energy optimization in HVAC systems, decentralized energy management, and district energy distribution. Combining it with external data and self-learning algorithms it can control the various assets to maximize returns. Has developed an IoT platform for energy retailers called Energy Information Brokerage Platform (EIBP) for power plant management, data analysis, asset optimization, and customer engagement. GreenCom's X-Manager Application allows the visualization and control of a large number of different devices including PV Systems, Storage units, Heat Pumps, Electric Vehicles, CHP Plants, Electrical Heaters and Air Conditions at consumer locations.",Germany,Smarter Grid,Optimising Network Resources,2011,Emerging,"3,420,000",Series A,Accessibility
Greenlots,https://greenlots.com/,"Greenlots is a global leader in advanced charging solutions for electric vehicles which help make the grid more efficient and save consumers money. The company has installed systems (both hardware and software) in 13 countries with utilities, municipalities, auto manufacturers and distributors, retailers building owners, carpark operators and other businesses. Greenlots offers cloud-based software platform for management of charging networks along with affordable, smart charging stations.",USA,Infr. for e-transport,Transport,2008,Mature,"15,000,000",Acquired,Mobility
Greensync,https://greensync.com/,"GreenSync provides an online platform for decentralised energy marketplace and forecasting power prices for distributed energy resources. The ""dex"" platform can forecast and auto-despatch load curtailment and demand-side resources in response to peak events in markets, networks, and large facilities. GreenSync helps businesses avoid those extra costs, by helping them manage their energy need and shifting the load to those peak times. For this, they have developed automation systems to reduce the load by switching on generators, switching off pumps. Works with major retailers, big business, and large facilities. GreenSync received the Victorian Government Inspiration Award, and the Startup Award under the Pioneer Domain section at the National iAwards.",Australia,Smarter Grid,Optimising Network Resources,2010,Emerging,"10,000,000",Series A,Accessibility
Grid Bridge,https://www.grid-bridge.com/,"GridBridge designs and deploys solutions that modernize power delivery systems. They combine innovative power electronics with software and communication capabilities to upgrade existing infrastructure. It offers Grid Energy router that integrate renewable generation and energy storage, significantly increase network efficiency, optimize distribution electric flow, as well as increase overall reliability and resilience.",USA,Smarter Grid,Optimising Network Resources,2012,Mature,,Acquired,Accessibility
Grid Edge,https://gridedge.ai/,"Grid Edge uses artificial intelligence technology to predict, optimize and control the energy profile, unlocking the potential to become active and intelligent participants in the energy system.",England,Green Building,Buildings & Heat,2016,Nascent,,Series A,Accessibility
Gridmates,https://www.gridmates.com/,Gridmates is an energy sharing cloud-based transactive platform for peer to peer energy sharing. It focuses to supply energy to people who can't pay for their energy needs. It has developed a platform for rooftop solar owners can now share their surplus of electricity with those in need. The company is currently in beta testing. It was incubated at International Accelerator.,USA,Asset & data management,Optimising Network Resources,2014,Nascent,"329,277",Seed,Stability
Gridpocket,https://www.gridpocket.com/en/,"GridPockets offers software-as-a-service (SaaS) white label platform solution for energy utilities to implement  energy efficiency behavior, in turn resulting in reduced consumption or peak load shifting.",France,Smarter Grid,Enabling Consumers,2009,Emerging,,Series A,Accessibility
Gridtential,https://www.gridtential.com/,"Gridtential Energy has developed 'Silicon Joule' battery a proprietary technology for advanced lead-acid battery that replaces the metal grid in current lead-acid battery designs with a silicon substrate. This technology yields higher energy density, longer cycle life and deeper depth-of-discharge than normal. The company has 7 patents and 3 copyright applications filed.",USA,Battery technology,Whole System Resources,2010,Emerging,"21,100,000",Series B,Mobility
GridX,https://www.gridx.ai/,"gridX is an IOT based solutions provider for the energy sector. It provides solutions for independent houses (energy management & monitoring), smart charging ( enables customers self-sufficiency & minimize charging cost), and microgrids (managing. monitoring, billing of energy flow).",Germany,Smarter Grid,Optimising Network Resources,2018,Nascent,,Series A,Accessibility
