Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
BigchainDB,https://www.bigchaindb.com,4,Automate workflows,13,Document Streamlining,"BigchainDB is a blockchain database offering decentralization, immutability and native assets. BigchainDB allows for the deployment of large-scale applications in a variety of use cases and industries from intellectual property and identity to supply chain, IoT and artificial intelligence. BigchainDB provides unique solutions for developers, start-ups and enterprises to successfully build their concepts, platforms and applications as big as they can dream.","New York, New York, United States",2014,Series A,2016,5370000,3370000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
BInfinity,https://binfinity.io,2,Access Liquidity,5,Tokenization and Digital Assets,"Binfinity is an exchange platform for cryptocurrencies. Users can buy, sell & trade digital currencies through encrypted networks. Supports the transfer of a wide range of digital assets such as altcoin, bitcoin, litecoin, among others. Also, provides current market pricing lists, transaction history details, and market analysis charts & insights.","Menlo Park, California, United States",2018,Series A,2018,7500000,7500000,0.33,0.33,0.33,Nascent,2. SECONDARY,Y,,
Bison Trails,bisontrails.co,2,Access Liquidity,5,Tokenization and Digital Assets,Bison Trails manages and operates proof of work and proof of stake mining facilities across North America.,USA,2018,Series A,2019,30750000,25500000,0.33,0.33,0.33,Nascent,1. PRIMARY,N,,
BITA,https://www.bitadata.com/,3,Manage Risk,9,Data & Risk Analytics,"BITA provides AI-based investment data analysis for investors. It features research, algorithms, calculation, portfolio creation & optimization, and backtesting based on big data technology. It enables users to create quantitative investment strategies & financial indexes. It offers cloud-based software such as BITA ACE for the high-performance index calculation and BITACORE for construction of indexes and quantitative strategies.",USA,2017,Seed,2019,1410000,1410000,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
BlackIce,http://blackiceinc.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,BlackIce Risk Technologies Ltd. (BlackIce) is a group of senior practitioners in the banking risk analysis and risk management space. It all started with Basel in the early 00â€™s. Banks needed processes and technology solutions to meet their regulatory requirements.,USA,2014,Public,2014,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Blanco,https://www.useblanco.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Blanco provides software solutions for the financial services industry. The company offers KYC, on-boarding & monitoring solutions that include client onboarding & remediation module and client file module. Also offers cloud-based banking platform wealth & asset managers. Platform modules include client onboarding, financial investment plan, client file, portfolio management system and security administration.",USA,2015,Seed,2015,4730000,2250000,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Blender,blender.global,5,Engage Consumers,16,P2P Platforms,Blender is a peer-to-peer lending platform that provides cross-border lending services.,England,2014,Series C,2019,43000000,5000000,0.66,0.66,0.66,Emerging,1. PRIMARY,N,,
Blockpulse,https://blockpulse.eu,2,Access Liquidity,5,Tokenization and Digital Assets,"Blockpulse is a security token offering platform that allows users to issue, manage, transfer and trade crypto-assets within a compliant environment. Features include fiat & crypto payments, escrow system, research reports, KYC and investor dashboard tools. Investors can invest in crypto & fiat currencies and modify/cancel their participation until the crowdsale ends. If the commitments are not reached, investors get the refund.","London, England, United Kingdom",2018,Unfunded,-,-,-,0.33,0.66,0.495,Nascent,1. PRIMARY,Y,,
BlockSettle,https://blocksettle.com/,2,Access Liquidity,5,Tokenization and Digital Assets,"BlockSettle offers a blockchain-based trade settlement solution. The company is developing a system, which allows for transactions to be validated and transferred without using a traditional bank as a verifier. Features include on-chain asset issuance, on-chain atomic swaps, cross-chain atomic swaps, real-time bilateral settlement.",USA,2016,Seed,2018,1530000,1530000,0.33,0,0.165,Nascent,1. PRIMARY,Y,,
Blockstate,https://blockstate.com/,2,Access Liquidity,5,Tokenization and Digital Assets,"Blockstate is a decentralized platform offering financial services. It is developing CTF15, a crypto asset investment product that tracks the top 15 crypto-assets, weighted by their market capitalisation. Aims to provide a blockchain-based platform DETI, that uses smart-contracts to streamline issuing, clearing and settling of bonds and loans. Also aims to offer blockchain-based derivative trading platform.","Des Moines, Iowa, United States",2018,Seed,2018,-,-,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
Blockvault,https://www.blockvault.ch/,3,Manage Risk,10,Crypto-Custody & Encryption,"BlockVault offers custodian services for cryptocurrencies. It allows cold storage facilities to users to enable safe custody of digital assets. Also, provides auditing, insurance & transparency solutions for digital currencies. Supports a wide range of crypto assets such as bitcoin cash, ethereum, bitcoin, ripple, among others.",England,2019,Unfunded,-,-,-,0.33,0.66,0.495,Nascent,3. POST TRADE,Y,,
Bluefin Payment Systems,http://www.Bluefin.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Bluefin is a payment security company that provides the leading security platform supporting payment gateways, processors and independent software vendors (ISV) in more than 25 countries. Bluefin's secure payment platform is key to a holistic approach to data security. Designed to complement EMV and tokenization, Bluefin's PCI-validated Point to Point Encryption (P2PE) solutions provide a solid security defense against current and future data breaches. Bluefin supports point of sale solutions for retail, mobile, call center and kiosk/unattended environments, and secure Ecommerce technologies. ",USA,2007,Acquired,2016,6000000,6000000,0.99,1,0.995,Mature,4. CLIENT SERVICING & SUPPORT,N,,
Bond180,http://www.bond180.com,2,Access Liquidity,6,"FI, FX & Listed Equities",Bond180 is a capital markets fintech providing technology solutions for primary debt markets. We help institutional investors to more easily and effectively find value in primary markets and to efficiently and intelligently source assets for their portfolios.,"Hong Kong, Hong Kong Island, Hong Kong",2019,Seed,2020,24181,-,0.33,0,0.165,Nascent,2. SECONDARY,Y,,
BondCliQ,http://www.bondcliq.com,2,Access Liquidity,6,"FI, FX & Listed Equities","BondCliQ is a central market system for bond market data. BondCliQ is the first central market system for US corporate bonds and is designed to improve institutional trading in the $8 trillion credit market. The concept is certified by history as a key building block to market modernization and provides meaningful benefits to all market participants including sell-side, buy-side, platforms and regulators. The BondCliQ central market system: â€¢ Centralizes and organizes institutional pre-trade quotes â€¢ Creates a formalized price formation process â€¢ Establishes a competitive environment for institutional market making â€¢ Empowers market makers to become more active trading participants The system is delivered via web application or API feed. The BondCliQ Team is uniquely qualified to bring an innovative solution to the US corporate bond market because of their invaluable experience in fixed income technology and market development including senior roles at Goldman Sachs, NYSE, MarketAxess, Creditex and TruMid.",USA,2016,Seed,2019,791987,791987,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Bondlend,https://bondlend.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","BondLend is a securities finance technology platform supporting the fixed income borrowing, lending and repo community. BondLend provides clients with a single point of access to the global securities financing community for the fixed income and repo markets, giving them greater liquidity, reduced risk and scalability. The platform offers trading and post-trade services. The BondLend post-trade suite of services includes Contract Comparison, Mark-to-Market Comparison, Returns, Recalls and ALD. BondLend clients include more than 50 major, global players in the fixed income securities finance market.",USA,2010,Unfunded,-,-,-,0.99,0.66,0.825,Mature,2. SECONDARY,N,,
BondLink,https://www.bondlink.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"BondLink is an investor relations and disclosure platform for municipal bond issuers, facilitating regulatory compliance and communication with investors. Its clients are government and non-profit companies.",USA,2015,Series A,2020,16100000,4000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
BoostCapital,https://boostcapital.co.uk/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Boost Capital offers working capital loans to businesses in UK. The repayment is made daily/weekly deductions. The business must be in operation for atleast 9 months in order to be eligible for loan. Some of the industries it serves include restaurant, retail, beauty, hotel, and medical industries. ","San Francisco, California, United States",2012,Corporate Round,2017,18810000,18810000,0.66,0.66,0.66,Emerging,2. SECONDARY,Y,,
Brex,https://brex.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Brex is a fintech company that provides a corporate credit card called the Brex Card for technology, e-commerce, and life science companies. It helps businesses of all sizes (from recently incorporated to later-stage) to instantly get a credit card that has 20x higher limits, completely automated expense and receipt tracking, and magical integrations with the most important accounting systems. Brex is building the next generation of B2B financial services with better tech and without the restrictions of legacy technology. With an innovative approach to corporate credit cards and cash management, the company creates a radically better way for their customers to save and spend money. The company was founded by Henrique Dubugras and Pedro Franceschi, two engineers who previously founded Pagar.me, one of the largest payment processors in Brazil with over $1.5 billion in GMV. Brex is backed by the co-founders of PayPal (Max Levchin and Peter Thiel), Y Combinator, Ribbit Capital, Yuri Milner, and Carl Pascarella (former CEO of Visa).",USA,2017,Series C,2020,432120000,150000000,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Brickblock,https://www.brickblock.io/,2,Access Liquidity,5,Tokenization and Digital Assets,"Brickblock claims to be creating an investment platform that allows individuals to invest directly into ETF's and real estate funds using their cryptocurrency balances. The goal of the project is to create a system that facilitates cross border investments and access to capital markets round the clock. Enabled by smart contracts, the platform will allow routine dispersion of dividends, reduce entry barriers in terms of paper work and foreign exchange and function relatively transparently.","Cambridge, Cambridgeshire, United Kingdom",2016,Series A,2019,5970000,5710000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Bridge,https://www.bridgeft.com/,3,Manage Risk,9,Data & Risk Analytics,"Bridge Financial Technology provides SaaS-based back office solution for financial advisors. It helps in optimizing their operations and enhancing client interactions. Features include invoices and billing reports, trading tools, client portal with file sharing platform, rebalancing, and performance reporting.","San Mateo, California, United States",2015,Series A,2019,2120000,-,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Bryter,https://bryter.io/,4,Automate workflows,12,IT & Data Cost Managament,"BRYTER provides knowledge management and no-code automation management solutions. It allows users to share information with teams, collect knowledge and automate the process. Other features include visual editor, API integration, document and content management solutions. It also provides real-time insights, data exporting and reporting solutions. Clients include Deloitte, Taylor Wessing, Baker McKenzie and Ashurst.",Ireland,2013,Series A,2020,25000000,16000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
BTCC,https://www.btcc.com/,5,Engage Consumers,15,Banking & Personal Finance,"BTCC is an app-based cryptocurrency exchange platform. BTCC index offers quotations of the spot index price from multiple major cryptocurrency exchanges. On the basis of the BTCC index quotes, liquidity providers provide orders for investors to complete transactions. App is available on iOS and Android devices.","London, England, United Kingdom",2011,Acquired,2018,5000000,5000000,0.66,1,0.83,Mature,2. SECONDARY,N,,
C3 Post Trade,https://www.c3posttrade.com/,4,Automate workflows,11,Trade Straight Through Processing,"C3 post trade platform is a web-based solution that easily wraps around both legacy and new systems to deliver efficiency, transparency, scalability and control of all exceptions for your operations.
",USA,2020,Unfunded,-,-,-,0,0.66,0.33,Nascent,3. POST TRADE,Y,,
Cadence,https://withcadence.io/,2,Access Liquidity,3,"Alt debt, loans & SME financing",Cadence provides a blockchain-based alternative investment platform for institutions and investors. It offers short-term debt investments with competitive risk-adjusted returns through the smart contract.,"Frankfurt, Hessen, Germany",2018,Series A,2020,6000000,4000000,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
Cambridge Blockchain,https://www.cambridge-blockchain.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),Cambridge Blockchain is a blockchain focused  management and compliance services for financial institutions,"Berlin, Berlin, Germany",2015,Series A,2019,10000000,7500000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Candis,https://www.candis.io/en/home,4,Automate workflows,13,Document Streamlining,"Candis provides cloud-based accounting solutions for businesses. It features solutions for accounts management, invoice management, payment processing, workflow automation, data validation, financial management, documentation, and more. Its pricing is availble on a monthly subscription plan.","Madrid, Madrid, Spain",2015,Series B,2020,15200000,14100000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Canoe,https://www.canoesoftware.com/,4,Automate workflows,13,Document Streamlining,"Canoe focuses on automating document management and data extraction for allocators and investors into alternatives.  The company is transforming the post-investment operational, monitoring, and reporting experience for all involved. By combining our industry expertise with sophisticated machine-learning and data capture technologies, it turns PDF reporting documents into actionable data and intelligence, unlocking new operational efficiencies for clients. Canoe was founded in 2013 and based in New York, New York.",United States,2013,Series A,2020,11800000,11800000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Canopy,https://www.getcanopy.com/,4,Automate workflows,13,Document Streamlining,"Canopy develops an online tax workflow management software that manages the tax workflow of tax practitioners. It is designed to streamline tax resolution for tax professionals. The company's platform provides cloud-based practice management and tax resolution software to thousands of accounting professionals nationwide. The modern, easy-to-use software cuts out tax practice busywork, enabling efficient client experience and brings all the different tools a practitioner needs under one roof.",USA,2014,Series A,2019,80000000,8000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Capitalise,https://capitalise.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Capitalise is an online lending platform that matched SMBs with lenders such as high street banks, challengers, independents and alternative platforms. Its matching algorithm puts the business in contact with the most appropriate lenders who undertake due diligence on the concerned businesses. It facilitates loans starting from £25k. ","San Francisco, California, United States",2014,Series A,2019,4540000,4540000,0.66,0.33,0.495,Nascent,6. OTHER,N,,
capitalise.ai,https://www.capitalise.ai/,3,Manage Risk,9,Data & Risk Analytics,"Capitalise simplifies the investment process by taking simple words and converting them into executable and optimized investments. We bridge between the simplicity of common words and the complex world of automated trading. Capitalise delivers portfolio management automation based on written investment scenarios. With Capitalise you can instantly optimize your investment ideas to analyze, predict and improve investment performance.","London, England, United Kingdom",2015,Seed,2019,10000000,10000000,0.66,0,0.33,Nascent,2. SECONDARY,N,,
Capitolis,https://www.capitolis.com/,3,Manage Risk,8,Optimization & Collateral Mgmt,"Capitolis is the leading SaaS platform that drives financial resource optimization for capital markets. Founded in 2017, Capitolis' network software enables financial institutions to optimize their balance sheets, which creates a fairer, safer and healthier marketplace. More than 50 financial institutions, as well as many hedge funds and asset managers, leverage Capitolis’ technology to bring the best services to market and achieve high levels of return, while using the most appropriate amounts of their financial resources.",England,2017,Series B,2019,71500000,40000000,0.33,0.33,0.33,Nascent,3. POST TRADE,N,,
Cappitech,https://www.cappitech.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Cappitech is a fin-tech boutique firm offering regulation technology solution for the financial service industry. The flagship offering of the company is EMIR Regulation dashboard which includes compliance reporting, full automation of data integration, data mapping, report formatting & back-reporting. The company gathers the trade database from client, structures & validates it and then reports it to trade regulatory & reconciles it.",USA,2013,Series A,2018,4000000,4000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Captable.io,https://captable.io/,4,Automate workflows,13,Document Streamlining,"Captable.io is a cloud-based cap table management tool that builds and shares cap table, conveniently, and securely in the cloud. The company enables easy cap table creation, sharing & collaboration, fast 409A valuations, stock plan management and powerful round & exit modeling. It offers founders quick guided creation, easy sharing, and grant verification features and powerful visual round and exit modeling. Captable.io guides you step-by-step through the cap table creation process, prompting key company details to be added such as employee grants, convertible notes, and the stock option pool. It combines human expertise with innovative software to deliver 409A valuations within days. The company was founded in 2013 and is headquartered in San Francisco, California, United States.","London, England, United Kingdom",2013,Unfunded,-,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Carta,https://carta.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Carta provides equity management solutions for businesses. It features solutions for cap table management, valuation, equity planning, transfer agents, electronic securities, scenario modeling, fund administration, portfolio data collection, and more. It offers solutions to multiple sectors including private companies, investors, and public companies. Its app is available for both Android and IOS devices.",England,2012,Series E,2020,658000000,210000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Cashforce,http://www.cashforce.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Cashforce is a next-generation cash forecasting & working capital management platform, focused on automation and integration - bridging the gap between the CFO, finance, AR/ AP and treasury. The platform is unique in its category because of the seamless integration with numerous ERPs & banking systems, the ability to drill down to transaction level details, and the intelligent AI-based simulation engine that enables multiple cash flow scenarios, forecasts & impact analysis. Cashforce is a global company with offices in New York,  Antwerp, Amsterdam, Copenhagen & London and provides Cash visibility to multinational corporates across various industries in over 120 countries worldwide.","London, England, United Kingdom",2013,Series A,2019,9056697,5516748,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
CASPIAN,https://caspian.tech,4,Automate workflows,11,Trade Straight Through Processing,"Caspian is a complete asset management solution that covers the lifecycle of the trade. It includes a fully developed OEMS, PMS, and RMS. It provides a single interface into all major crypto exchanges, a complete suite of sophisticated trading algorithms, real-time and historical P&L and exposure tracking and professional customer service.",USA,2017,Seed,2018,19500000,19500000,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Chainalysis,chainalysis.com,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Chainalysis is a blockchain analysis company. Chainalysis provides compliance and investigation software to banks, businesses, and governments around the world.",Ireland,2014,Series B,2020,66720000,13000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Chi-X Global Holdings,http://www.chi-x.com,2,Access Liquidity,6,"FI, FX & Listed Equities",Chi-X Global Holdings is a global operator of technologically advanced alternative market centers and a provider of innovative market level trading solutions,USA,2007,Acquired,2014,-,-,0.99,1,0.995,Mature,2. SECONDARY,N,,
Circle Internet Financial,circle.com,2,Access Liquidity,5,Tokenization and Digital Assets,"Circle enables companies to run an internet business using new standards for money powered by USD Coin (USDC), a stablecoin backed by US dollars, which are held in reserve by regulated financial institutions. The tokens themselves are also issued by regulated financial institutions, and every token can be redeemed for one dollar â€” effectively providing a price-stable cryptocurrency.","London, England, United Kingdom",2013,Series E,2020,272500000,25000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
CityFalcon,https://www.cityfalcon.com,3,Manage Risk,9,Data & Risk Analytics,"CityFALCON is redefining how financial news is sourced, curated, distributed, and consumed. We transform unstructured financial content into structured data then deliver analytics, insights, and news in real-time on 250k+ topics from 3000+ sources, including premium non-public content and paywall-free access. We use automation, Big Data and AI techniques, and personalisation to democratise access to the financial markets and their data for everyone, from retail market participants and SMEs to large institutions and corporations. Current channels of delivery are web, mobile app, voice device, and API access, while Single Sign-on, CSV-based historical data sets, and one-time purchase packages are planned for the future.",USA,2014,Seed,2019,3190411,-,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Clarity Money,http://www.claritymoney.com,5,Engage Consumers,15,Banking & Personal Finance,Clarity provides a mobile platform which let user gain insights into their personal finances. ,"San Francisco, California, United States",2016,Series B,2017,14500000,11000000,0.33,0.33,0.33,Nascent,6. OTHER,N,,
Clark,https://www.clark.de,5,Engage Consumers,15,Banking & Personal Finance,"Clark is an insurance platform providing transparent, cheap and comprehensive insurance coverage. By combining technology and insurance expertise, Clark offers users simple, fair and customer-centric insurance advice. The Berlin-based company was founded in June 2015 by Dr. Christopher Oster and Steffen Glomb. Clark is supported by FinTech incubator FinLeap and the insurance think tank ITA - ""Institute for Transparency"".","New York, New York, United States",2015,Series B,2018,43810659,29000000,0.66,0.33,0.495,Nascent,6. OTHER,Y,,
ClauseMatch,http://www.clausematch.com,4,Automate workflows,13,Document Streamlining,"ClauseMatch is an award-winning London-based financial technology company that provides a software-as-a-service platform for smart document management. Its flagship product is a next-gen innovative online editor which brings unprecedented productivity for compliance, legal, finance, operations and risk teams saving millions in terms of time and resources, while significantly reducing risk and providing accountability. ClauseMatch works as a real-time browser-based collaborative document editor containing in its core a detailed workflow, where comments, approvals, and changes are a part of a full audit trail. That brings complete control of content, streamlines complex workflows, removing human error for a better insight into senior management. Every change and approval made in a document is tracked in an organized manner providing full visibility and groundbreaking reporting capabilities. Current customers include global banks that use ClauseMatch platform for centralized policies management, regulatory change management, and management of internal documentation like intra-group vendor agreements, new product approvals process, financial promotion documentation.",USA,2012,Series A,2019,9274186,2500000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Clear,https://www.clearx.io/,4,Automate workflows,11,Trade Straight Through Processing,Clear provides trade settlement and clearing solution based on blockchain technology. Leverages smart contract to enable direct and automatic B2B trade. The solution enables pluggable tokenization i.e. the tokenization of existing fiat currencies into eSDR. eSDRs are backed by liquid collateral that resides in multiple financial institutes. eSDR facilitates local and cross-border payments.,"Bethesda, Maryland, United States",2017,Series A,2020,13000000,13000000,0.33,0.33,0.33,Nascent,5. E-2-E INTEGRATION,N,,
ClearMarkets,https://www.clear-markets.com/,2,Access Liquidity,6,"FI, FX & Listed Equities","Clear Markets develops electronic marketplaces and trading technologies. The company has built electronic and hybrid-electronic trading systems for fixed income derivatives. Clear Markets is an affiliate of QUICK Corp -a subsidiary of Japan’s Nikkei, Inc.",USA,2012,Series A,2018,9000000,9000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Clearmatics,https://www.clearmatics.com/,4,Automate workflows,11,Trade Straight Through Processing,"Clearmatics is developing a clearing and settlement technology for financial OTC markets. Its blockchain technology brings together custodians and end-users on a single platform, where members can settle securities and automate the performance of financial contracts on a trusted and decentralized virtual machine. The company demo-ed their OTC trading product with OpenGamma in Quantech 2016 in April","Hong Kong, Hong Kong Island, Hong Kong",2015,Series A,2018,12000000,12000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
Clearpool,https://clearpoolgroup.com/,3,Manage Risk,9,Data & Risk Analytics,"Clearpool provides trading software and execution services to trading firms. Its key products are Autonomy (electronic and algorithmic trading software for pre-trade compliance and risk checks in real time), Iris (automatic order placement), Clarity (provides trading based compliance and risk checks) and Fusion (broker-neutral EMS).",Singapore,2012,Acquired,2018,8000000,8000000,0.66,1,0.83,Mature,2. SECONDARY,N,,
Cloud Lending,http://www.cloudlendinginc.com,4,Automate workflows,12,IT & Data Cost Managament,"Cloud Lending offers a cloud-based banking software suite. It offers solutions such as loan management software for consumer loans, business loans, & mortgages, banking-as-a-service platform, sales & relationship management, digital banking solutions such as accounts & payment cards, and more. It provides solutions to banks and financial institutions.
",USA,2012,Acquired,2018,31999995,18000000,0.66,1,0.83,Mature,6. OTHER,N,,
Cloud9,https://www.c9tec.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Cloud9 provides a web-based platform and allows communication through voice, video or messaging. It also provides software for installation on a PC or tablet. It allows an unlimited number of communication links between traders and trading communities. The platform collects, structures and delivers real-time metadata and transcription.","Palo Alto, California, United States",2013,Series B,2020,61500000,17500000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
CloudMargin,https://cloudmargin.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Cloud Margin provides a cloud-based collateral and risk management technology platform that caters to buy-side and non-bank institutions such as corporates, hedge funds, insurers, pension funds, and asset managers. With CloudMargin, end-users of OTC derivatives can manage increasing margin call volumes, cope with the Dodd-Frank and EMIR push to CCP and build a secure, controlled, efficient and cost effective collateral management operation","Cape Town, NA - South Africa, South Africa",2013,Series B,2018,17500000,10400000,0.66,0.33,0.495,Nascent,3. POST TRADE,Y,,
CMG,https://cmgx.io/,3,Manage Risk,8,Optimization & Collateral Mgmt,"CMG offers data analytics platform. It allows users to collect a large amount of the data, analyze and handle asset management solutions, capture insights and helps capital markets and helps businesses to manage investment decisions. It also provides reporting solutions and allows users to manage data repositories and calendars.","Atlanta, Georgia, United States",2015,Series B,2020,36000000,25000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Cobase,https://www.cobase.com/,4,Automate workflows,13,Document Streamlining,"Cobase's multibank platform is a single point of access to all bank accounts and other financial products and services from many banks and financial service providers. The main features of the platform are a central payment hub, cash management, and treasury modules. The combination of this functionality with many bank connections in one place offers tremendous financial and operational efficiency, especially for medium and large size companies. Users and authorization schemes can be centrally managed for all subsidiaries or departments and only one security token is needed for each user.",England,2016,Series A,2020,20122565,11367020,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Coinbase,http://www.coinbase.com,2,Access Liquidity,5,Tokenization and Digital Assets,"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency. It allows its users to create their own bitcoin wallets and start buying or selling bitcoins by connecting with their bank accounts. In addition, it provides a series of merchant payment processing systems and tools that support many highly-trafficked websites on the internet. Coinbase was launched in 2012 with a mission to create an open financial system for the world. It is operated from San Francisco, California.","New York, New York, United States",2012,Series E,2018,525309825,22000000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
CoInvestor,https://coinvestor.co.uk/,3,Manage Risk,9,Data & Risk Analytics,"CoInvestor provides an online investment platform for private market investors. It provides a marketplace for EIS, VCT, SEIS and IHT tax-efficient investments. It offers evaluation, comparison, valuation, document management, and risk analysis tools.","Tel Aviv, Tel Aviv, Israel",2014,Seed,2016,1340000,1340000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
College Ave Student Loans,collegeavestudentloans.com,2,Access Liquidity,3,"Alt debt, loans & SME financing",College Ave Student Loans is an online marketplace lender with a sole focus on private student loans. The company is using technology and a deep industry expertise to connect families who need to cover education costs with lenders who can provide that funding.,USA,2014,Corporate Round,2019,115000000,65000000,0.66,0.66,0.66,Emerging,1. PRIMARY,N,,
Collibra,collibra.com,4,Automate workflows,12,IT & Data Cost Managament,"Collibra is a data intelligence solution provider. It offers a cloud-based platform that connects IT and the business to build a data-based culture for the digital enterprise. It helps IT organizations to reduce complexity, risk, and costs. Collibra was a spin-off from STARLab at the Free University of Brussels. The Data Governance Center covers all key data governance and stewardship activities including Master data management, data quality, metadata management.
","Toronto, Ontario, Canada",2008,Series F,2020,345900000,112500000,0.99,0.66,0.825,Mature,4. CLIENT SERVICING & SUPPORT,N,,
Complidata,https://www.complidata.io,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Complidata provides an AI-based trade finance risk monitoring solution. It features corporate KYC, PEP & Sanctions screening alerts reduction, trade-based AML checks, etc.",Canada,2018,Unfunded,-,-,-,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
ComplyAdvantage,https://complyadvantage.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"ComplyAdvantage is a provider of cloud-based AML solutions. It provides information on politically exposed persons, sanctioned entities, terrorists and other entities that can help businesses avoid risk. It enables financial institutions to manage and regulate features such as global sanctions, global financial regulators, global law enforcement data, and more.","San Diego, California, United States",2014,Series C,2020,88000000,55000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Continuity,http://www.continuity.net,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Continuity is a leading provider of Regulatory Technology (RegTech) solutions that automate compliance management for financial institutions of all sizes. By combining regulatory expertise and cloud technology, Continuity provides a proven way to reduce regulatory burden and mitigate compliance risk at a fraction of the cost. Our solutions are designed to automate all aspects of compliance management, from interpretation of regulatory issuances through intuitive task delegation, vendor management, and board reporting. Continuity serves hundreds of institutions across the US and its territories. Continuity is a Compliance Management System for community banks and credit unions. Engineered to reduce the time, cost and risk impacts of regulation, this unified system automates the entire regulatory lifecycle â€” managing regulatory updates, policies, procedures, risks, vendors, audits, business continuity, exam preparation, compliance strategy, and planning.","London, England, United Kingdom",2008,Series B,2016,21492907,5000000,0.99,0.33,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
CoPower,https://copower.me/en/,2,Access Liquidity,3,"Alt debt, loans & SME financing","CoPower is an online platform that simplifies clean energy investing. We help investors place capital into energy efficiency and renewable energy generation projects that offer solid returns, along with measured environmental impact. Since late 2014, CoPower has placed over $2.5 million in clean energy loans. CoPower is a proud Certified B Corporation. Visit copower.me to learn more.",USA,2013,Acquired,2017,5896971,2000000,0.66,1,0.83,Mature,1. PRIMARY,N,,
